# Next line contains the total soma count (includes inactive):
24876
# Next line contains the total number of reported cells (selected_in_node + parents + children). 11 + 0 + 0 = 11.
11
# Next line contains the soma ids reported:
0 1 2 3 4 5 6 7 8 9 10 
# Next line contains the number of cycles:
1000
#Cycle [SomaId(0)_V SomaId(0)_F]...[SomaId(N)_V SomaId(N)_F] 
# Where F is bit flags: 0 = FIRED_STATE_NOTHING; 1 = FIRED_STATE_REGULAR; 2 = FIRED_STATE_FORCED; 4 = FIRED_STATE_BINARY; 8 = FIRED_STATE_SUPPRESSED.
#Cycle 0_V 0_F 1_V 1_F 2_V 2_F 3_V 3_F 4_V 4_F 5_V 5_F 6_V 6_F 7_V 7_F 8_V 8_F 9_V 9_F 10_V 10_F 
86 -72.862083 0 -71.376999 0 -72.445839 0 -71.459785 0 -71.859467 0 -71.253265 0 -71.978210 0 -71.254425 0 -71.958229 0 -71.256065 0 -72.096329 0 
87 -72.705032 0 -71.292717 0 -72.307861 0 -71.371063 0 -71.750053 0 -71.175705 0 -71.862816 0 -71.176804 0 -71.843834 0 -71.178360 0 -71.975121 0 
88 -72.555000 0 -71.212997 0 -72.176392 0 -71.287086 0 -71.646179 0 -71.102425 0 -71.753197 0 -71.103462 0 -71.735176 0 -71.104927 0 -71.859879 0 
89 -72.411842 0 -71.137650 0 -72.051247 0 -71.207672 0 -71.547661 0 -71.033241 0 -71.649147 0 -71.034218 0 -71.632050 0 -71.035599 0 -71.750404 0 
90 -72.275391 0 -71.066483 0 -71.932220 0 -71.132614 0 -71.454277 0 -70.967957 0 -71.550453 0 -70.968880 0 -71.534248 0 -70.970184 0 -71.646500 0 
91 -72.145432 0 -70.999313 0 -71.819099 0 -71.061722 0 -71.365837 0 -70.906403 0 -71.456917 0 -70.907272 0 -71.441566 0 -70.908501 0 -71.547943 0 
92 -72.021759 0 -70.935966 0 -71.711685 0 -70.994827 0 -71.282143 0 -70.848404 0 -71.368332 0 -70.849220 0 -71.353798 0 -70.850380 0 -71.454544 0 
93 -71.904175 0 -70.876259 0 -71.609756 0 -70.931732 0 -71.202988 0 -70.793793 0 -71.284500 0 -70.794563 0 -71.270752 0 -70.795654 0 -71.366081 0 
94 -71.792450 0 -70.820015 0 -71.513107 0 -70.872261 0 -71.128181 0 -70.742401 0 -71.205215 0 -70.743126 0 -71.192215 0 -70.744148 0 -71.282372 0 
95 -71.686378 0 -70.567070 0 -71.421539 0 -70.616249 0 -71.057541 0 -70.494064 0 -70.930290 0 -70.494751 0 -70.518013 0 -70.495712 0 -71.203201 0 
